time_of_day,PULocationID,demand,avg_fare,total_revenue,hour,day_of_week,month,is_weekend
Evening,4,9.278434268833086,17.278028695863167,305117.86,20,2,1,0
Evening,12,1.7258883248730965,23.420323785351705,32608.56,21,3,1,0
Evening,13,28.127017543859647,21.319012920303468,1190417.03,21,0,1,0
Evening,24,9.418833450456782,15.47574669158089,293042.12,20,0,1,0
Evening,41,12.291812456263122,15.773700122332173,371504.03,20,0,1,0
Evening,42,5.405405405405405,18.115569573719114,161426.66,21,1,1,0
Evening,43,60.08635097493036,14.034718059362072,1910664.35,20,0,1,0
Evening,45,10.969079409697821,19.23352499131358,420543.67,20,1,1,0
Evening,48,195.88587334725122,15.601222235614305,6724779.13,20,0,1,0
Evening,50,30.595403899721447,15.354731280049041,1023400.52,20,0,1,0
Evening,68,175.28650904033378,17.07150644248361,6385026.45,22,6,1,1
Evening,74,9.371588523442966,16.23544030407601,283983.83,20,0,1,0
Evening,75,18.75208913649025,14.802692742862925,554854.48,20,0,1,0
Evening,79,187.6562282533055,15.307926054273791,6311457.59,23,6,1,1
Evening,87,41.690111420612816,21.70727030653366,1802865.61,20,0,1,0
Evening,88,19.734593837535012,23.08194990916221,894158.29,20,1,1,0
Evening,90,103.88509749303621,14.79825260920046,3428530.38,20,0,1,0
Evening,100,82.21224773834378,16.38295522350123,2894599.5,23,6,1,1
Evening,107,126.17966573816156,14.106374428997324,4011703.36,20,0,1,0
Evening,113,100.52019498607243,15.316809772829908,3388202.02,20,0,1,0
Evening,114,133.10724233983288,15.73494428163468,4540112.15,20,0,1,0
Evening,116,3.852682145716573,18.63172097934385,109919.6,21,1,1,0
Evening,120,1.0,33.71857142857143,284.16,21,3,10,0
Evening,125,34.06267409470752,16.066501620183217,1190294.45,20,0,1,0
Evening,127,1.4603960396039604,25.56707301980198,16853.72,22,0,2,0
Evening,128,1.09375,29.57578125,1136.85,23,4,6,0
Evening,137,52.387883008356546,13.9168441862229,1619478.89,20,0,1,0
Evening,140,57.688718662952645,14.5387363673645,1831492.11,20,0,1,0
Evening,141,105.55880306193458,13.075434027843794,3132598.47,23,6,1,1
Evening,142,235.2966573816156,14.465253569003062,7665093.67,20,0,1,0
Evening,143,38.3050139275766,14.401228887517808,1220253.28,20,0,1,0
Evening,144,74.7715877437326,16.53337268519286,2624638.36,20,0,1,0
Evening,148,80.66782729805014,17.27882661160625,2950395.02,20,0,1,0
Evening,151,24.09198606271777,15.033710153679563,740630.42,20,0,1,0
Evening,152,3.535369774919614,17.65381759664747,98921.21,20,1,1,0
Evening,153,1.126984126984127,24.087936507936508,1891.56,21,3,4,0
Evening,158,78.66852367688023,16.444784593441074,2763758.67,20,0,1,0
Evening,161,295.4853963838665,14.796027227701332,9779141.55,22,6,1,1
Evening,162,188.65135699373695,14.328615120749946,6112106.9799999995,23,6,1,1
Evening,163,178.0305767894371,14.582855209206352,5790169.81,21,6,1,1
Evening,164,153.49303621169918,14.945677064842315,5090801.55,20,0,1,0
Evening,166,21.33960948396095,16.573946797571757,707945.63,20,0,1,0
Evening,170,151.10368823938762,14.608163757173028,4932750.32,23,6,1,1
Evening,186,180.04178272980502,17.26068191095274,6677585.03,20,0,1,0
Evening,194,1.2464454976303319,47.1312393364929,16335.37,22,5,3,1
Evening,202,1.1685393258426966,29.338804619225968,10706.37,23,4,2,0
Evening,209,18.977591036414566,20.910895800184253,793446.76,20,1,1,0
Evening,211,57.000696378830085,15.754359013876922,1939419.95,20,0,1,0
Evening,224,5.970845481049563,15.59638789039258,188621.28,20,0,1,0
Evening,229,90.51877607788596,13.487522985945246,2785617.71,22,6,1,1
Evening,230,257.91620111731845,16.030727605383372,8926834.35,20,0,1,0
Evening,231,93.29108635097494,17.98685029738277,3535749.58,20,0,1,0
Evening,232,10.262861169837914,20.25257368340239,399984.31,20,1,1,0
Evening,233,52.027835768963115,14.320373465611196,1660938.17,20,0,1,0
Evening,234,192.06197771587745,14.627855752211124,6268196.3,20,0,1,0
Evening,236,129.70543175487464,13.10925373493429,3861314.19,20,0,1,0
Evening,237,219.7446068197634,12.762453034381666,6485073.31,23,6,1,1
Evening,238,63.68941504178273,14.016074175611921,1948905.24,20,0,1,0
Evening,239,127.53342618384401,13.826698028609295,3966686.84,20,0,1,0
Evening,243,2.0179806362378976,23.71738045890639,39989.61,23,4,1,0
Evening,244,3.651618398637138,20.392767332546924,107601.68,20,1,1,0
Evening,246,105.21378830083566,16.44691216399303,3689279.16,20,0,1,0
Evening,249,211.58635097493035,15.597651291778751,7222651.78,20,0,1,0
Evening,261,25.001392757660167,21.47515348685019,1083040.29,20,0,1,0
Evening,262,28.206128133704734,14.318382478384462,888862.97,20,0,1,0
Evening,263,89.90041782729806,13.193497007323218,2690158.64,20,0,1,0
Evening Rush,4,5.673499267935578,19.111028965283676,197250.81,16,2,1,0
Evening Rush,12,4.356725146198831,24.744229866731477,178064.95,19,4,1,0
Evening Rush,13,61.46368715083799,22.134738002375055,2834186.63,16,1,1,0
Evening Rush,24,16.884078212290504,15.376853930890531,550407.24,16,1,1,0
Evening Rush,41,18.08635097493036,16.828029430446385,588817.68,16,0,1,0
Evening Rush,42,7.081734186211798,20.6734467314662,248322.19,16,1,1,0
Evening Rush,43,133.1991643454039,15.352262746937804,4663681.75,16,0,1,0
Evening Rush,45,11.337290502793296,21.71145343485164,487341.66,16,1,1,0
Evening Rush,48,151.64693593314763,15.903371543102983,5388604.78,16,0,1,0
Evening Rush,50,38.75487465181058,15.375099386467387,1327574.82,16,0,1,0
Evening Rush,68,205.33983286908077,17.401750789350352,7880941.9,16,0,1,0
Evening Rush,74,16.03272980501393,17.120515599242523,532765.49,16,0,1,0
Evening Rush,75,43.48885793871866,15.53926157594107,1417105.69,16,0,1,0
Evening Rush,79,106.76949860724234,15.26759242497602,3631868.91,16,0,1,0
Evening Rush,87,47.11768802228412,22.839580011894856,2177747.52,16,0,1,0
Evening Rush,88,27.643156424581004,24.67578683451538,1353783.27,16,1,1,0
Evening Rush,90,112.34958217270194,14.537199630131752,3773709.02,16,0,1,0
Evening Rush,100,106.474930362117,17.218056209693913,4029907.27,16,0,1,0
Evening Rush,107,131.5299442896936,14.849299810647627,4461482.99,16,0,1,0
Evening Rush,113,100.3349582172702,14.731873362193536,3383605.88,16,0,1,0
Evening Rush,114,73.76601671309193,15.38534741938841,2538455.49,16,0,1,0
Evening Rush,116,4.6203288490284,20.834018901786216,159607.87,16,1,1,0
Evening Rush,120,1.0,54.28333333333333,778.35,18,6,9,1
Evening Rush,125,33.75557103064067,16.5580254325492,1238131.65,16,0,1,0
Evening Rush,127,1.4726890756302522,27.09067702080832,22012.18,18,4,2,0
Evening Rush,128,1.0185185185185186,29.214259259259258,1793.44,16,6,6,1
Evening Rush,137,80.45403899721448,15.082780529275981,2745396.74,16,0,1,0
Evening Rush,140,149.62813370473538,15.0407092133652,5169546.74,16,0,1,0
Evening Rush,141,164.12116991643455,13.356500480571817,5168038.66,16,0,1,0
Evening Rush,142,234.11977715877438,14.071087354578063,7660983.8,16,0,1,0
Evening Rush,143,78.67688022284122,13.727058257491493,2509090.09,16,0,1,0
Evening Rush,144,72.31058495821728,17.876352517323394,2743082.01,16,0,1,0
Evening Rush,148,40.309888579387184,18.956449678492838,1578728.81,16,0,1,0
Evening Rush,151,55.99025069637883,13.998279673536082,1724779.83,16,0,1,0
Evening Rush,152,5.44179320318149,18.296264927978847,180978.57,19,1,1,0
Evening Rush,153,1.0804597701149425,32.3283908045977,3435.37,17,0,4,0
Evening Rush,158,63.306406685236766,17.118463185238287,2380503.37,16,0,1,0
Evening Rush,161,416.5612813370474,16.206797594590107,15330368.1,16,0,1,0
Evening Rush,162,295.88231197771586,15.912397208610034,10822365.36,16,0,1,0
